,notebook_id,total_execution_time,name,tdp_watts,total_co2_emissions
757,7a53928fa4,1090.3832072349321,Intel Xeon Gold 5220,125,0.03445308050638154
758,7a54486317,5302.404410188447,Intel Xeon Gold 6148,150,0.20104950055297865
759,7a98af17e6,5085.6507263461735,AMD EPYC 7763,280,0.3599510569647236
760,7ae11af208,1441.7927869079292,A100 PCIe 40/80GB,250,0.09111329417265386
761,7b13b22030,365.84648813116746,A100 SXM4 80 GB,400,0.036991144911040275
762,7b1ce3d73b,390.7520725001276,AGX Xavier,30,0.002963203216459301
763,7b41bfa508,384.76180319716104,AMD RX480,150,0.014588885037892357
764,7b5b23f4aa,1793.3880756733201,GTX 1080 Ti,250,0.11333216311546676
765,7b7a53e239,891.5646216400125,GTX 1080,180,0.04056619028462057
766,7bb060764a,768.5045281471773,GTX 750,250,0.04856521670930079
767,7bccfde771,1445.4354220093282,GTX TITAN X,250,0.09134348847420061
768,7bfa32686d,1890.7990062011424,Quadro K6000,225,0.10753919347768999
769,7c33e57e3d,981.2502094978497,Quadro P6000,250,0.062009561850211344
770,7c4bf50b71,375.3455235736815,RTX 2080 Ti,250,0.02371975183694793
771,7c9d0b1f96,1467.5636131602628,RTX 2080,215,0.07975800580966816
772,7cac11e2f4,5567.492695115769,RTX 8000,260,0.3659079921289975
773,7cbbc409ec,1064.2699869437333,T4,70,0.018831666157865506
774,7cc234202e,2507.226357610224,Tesla K40c,245,0.15527392123033318
775,7cc532d783,1017.1170143592748,Tesla K80,300,0.07713137358891169
776,7cf64379eb,993.3866717489379,Tesla M40 24GB,250,0.06277651883968983
777,7d04bbbe54,9227.498566950828,Tesla P100,250,0.5831266455503649
778,7d12b66d3d,444.29014139918536,Tesla P40,250,0.02807666865786519
779,7d265aa714,1470.3692973872812,Tesla V100-PCIE-16GB,300,0.11150300505186883
780,7da18d0326,204.26327195187667,Tesla V100-SXM2-16GB,250,0.012908303991403318
781,7dc1c7653a,7979.3720897071935,Tesla V100-SXM2-32GB,300,0.6051023834694622
782,7dc3338d42,857.0123652861419,Titan RTX,280,0.06065743074303027
783,7dcd340d84,594.5298755047669,Titan V,250,0.03757098518814846
784,7e05d6f828,492.0067738150809,TITAN X Pascal,250,0.031092094734147476
785,7e7757b1e1,1434.2874304436077,Titan Xp,250,0.09063899734053354
786,7e889fb76e,204.5703134035559,TPUv2 Chip,221,0.011428093257941425
787,7e9e346dc5,715.2339924248679,TPUv3 Chip,283,0.05116505835254895
788,7eacb53257,4753.961578375595,RTX 3080,320,0.3845426698952704
789,7edfd52220,411.94209454551503,RTX 3080 TI,350,0.03644543253131848
790,7f141cf8e7,17382.27281208065,RTX 3090,350,1.5378483029576908
791,7f1de29e6d,5657.78262149832,RTX A4000,140,0.20022264054969055
792,7f6caf1f0b,77.17966751045554,RTX A5000,230,0.004487140113871762
793,7f7c351ee9,1427.1281089260353,RTX A6000,300,0.10822388159355768
794,7fa732b517,351.748938701213,Intel Xeon E5-2699,145,0.012892575683784735
795,7fb8ceb3bd,750.013864791094,Intel Xeon E5-2630v4,85,0.01611488123377531
796,8004d637b6,1913.0565391895584,Intel Xeon E5-2650,105,0.05077570897765619
797,801272ee79,889.2365673643492,Intel Xeon Gold 5220,125,0.028097405427137425
798,801c14f07f,4586.847187331348,Intel Xeon Gold 6148,150,0.1739179558529803
799,8065d07da4,227.14856043336664,AMD EPYC 7763,280,0.016077070332894954
800,806fec5af7,32.60034527096495,A100 PCIe 40/80GB,250,0.002060160708095702
801,810dfbbebb,986.6813186855612,A100 SXM4 80 GB,400,0.09976444444487342
802,814a9c18f5,244.71681793883536,AGX Xavier,30,0.0018557692027028352
803,8169e05e2a,4857.263541135502,AMD RX480,150,0.1841712426013878
804,818f4654ed,1604.7056029692826,GTX 1080 Ti,250,0.10140847907653106
805,8196e8d0f9,395.3841407516446,GTX 1080,180,0.01798997840419983
806,81c650caac,220.17729343594752,GTX 750,250,0.013913981737966128
807,81c8727c62,959.0213661509622,GTX TITAN X,250,0.06060482244426219
808,81ca0262c8,1423.058424073794,Quadro K6000,225,0.08093644786919703
809,81e5f81db7,244.40983983276823,Quadro P6000,250,0.015445344044987437
810,820e694038,1222.862324217358,RTX 2080 Ti,250,0.07727810521095804
811,821fa74b50,830.5982746944024,RTX 2080,215,0.04514070901221107
812,8232e119d8,5337.363908989611,RTX 8000,260,0.35078341690748394
813,82aa4b0af3,980.4093599951648,T4,70,0.01734779895324778
814,82b8a34349,2065.661092220762,Tesla K40c,245,0.12792753903072748
815,831b1ac54c,1202.29382024548,Tesla K80,300,0.09117394803528223
816,831caa1b60,1473.426498633199,Tesla M40 24GB,250,0.09311236901084799
817,83cdcec08f,374.99974432146433,Tesla P100,250,0.02369790050920365
818,83e8ef5181,1762.8192179078583,Tesla P40,250,0.11140038113167715
819,83f97f4825,473.00622173819784,Tesla V100-PCIE-16GB,300,0.03586963848181334
820,83fa5a432a,805.2668753895244,Tesla V100-SXM2-16GB,250,0.05088839281975467
821,84117275be,4487.959352475495,Tesla V100-SXM2-32GB,300,0.340336917562725
822,8420d35940,2622.9247904971958,Titan RTX,280,0.18564478794963488
823,8430b32b5b,5259.846394612662,Titan V,250,0.33239307077066127
824,8487e01fba,567.5882640770102,TITAN X Pascal,250,0.035868425021533284
825,84b20b1f5a,801.6106750777265,Titan Xp,250,0.05065734127227299
826,84d2004bf2,227.22857233068098,TPUv2 Chip,221,0.012693871717062015
827,84ddfb3412,356.4152118700771,TPUv3 Chip,283,0.02549655819802804
828,84f0f20482,425.06209333664356,RTX 3080,320,0.03438280043878628
829,84f74ce451,2122.6667670430643,RTX 3080 TI,350,0.18779704591756
830,850af92f8d,79.0730366275132,RTX 3090,350,0.006995767268295266
831,852c44ddce,448.35929355230166,RTX A4000,140,0.01586693722182312
832,85353d3b2f,731.5664838132652,RTX A5000,230,0.04253246251725456
833,85422afb46,1764.2079798687707,RTX A6000,300,0.1337857718067151
834,854d6fae5e,524.4020735902628,Intel Xeon E5-2699,145,0.019220792669509768
835,85690f81aa,995.6029200497026,Intel Xeon E5-2630v4,85,0.021391634962734583
836,8597a6cfa7,6718.424591660412,Intel Xeon E5-2650,105,0.17831818603698676
837,85f007f8c5,1557.8297491129283,Intel Xeon Gold 5220,125,0.04922309276710989
